"user_id","started","lastdata","therm_sens","therm_comfort","therm_pref","therm_accep","met","air_velocity","air_quality","humidity","overall_comfort","tiredness"
MG451892,2023-12-04 10:41:39.000,2023-12-04 11:03:17.000,4.0,5,2,1,1.0,4,4,4,6.0,4
FA369774,2023-12-04 11:01:43.000,2023-12-04 11:03:13.000,2.0,3,3,2,1.0,6,6,5,3.0,4
FB986112,2023-12-04 11:09:08.000,2023-12-04 11:13:27.000,4.0,3,3,1,1.0,3,4,4,3.0,4
MD189828,2023-12-04 11:09:12.000,2023-12-04 11:10:05.000,4.0,4,3,1,1.0,4,4,4,4.0,3
MG451892,2023-12-04 11:11:47.000,2023-12-04 11:12:45.000,4.0,5,2,1,1.0,4,4,4,5.0,4
FA369774,2023-12-04 11:11:50.000,2023-12-04 11:13:09.000,2.0,3,3,1,1.0,5,6,5,3.0,4
FB986112,2023-12-04 11:19:07.000,2023-12-04 11:21:27.000,5.0,4,2,1,1.0,4,4,4,4.0,4
MD189828,2023-12-04 11:19:17.000,2023-12-04 11:20:29.000,4.0,4,3,1,1.0,4,5,4,4.0,3
FA369774,2023-12-04 11:21:49.000,2023-12-04 11:23:15.000,3.0,3,3,1,1.0,5,4,4,4.0,4
MG451892,2023-12-04 11:21:49.000,2023-12-04 11:22:16.000,4.0,5,2,1,1.0,4,4,4,5.0,4
MD189828,2023-12-04 11:29:08.000,2023-12-04 11:32:21.000,4.0,4,3,1,1.0,5,5,5,4.0,3
